Country_Region,first_1ConfirmedCases,first_1Fatalities,first_10ConfirmedCases,first_50ConfirmedCases,first_100ConfirmedCases,cases_growth,death_growth,Cardiovascular diseases (%),Cancers (%),"Diabetes, blood, & endocrine diseases (%)",Respiratory diseases (%),Liver disease (%),Diarrhea & common infectious diseases (%),Musculoskeletal disorders (%),HIV/AIDS and tuberculosis (%),Malaria & neglected tropical diseases (%),Nutritional deficiencies (%),pneumonia-death-rates,Share of deaths from smoking (%),alcoholic_beverages,animal_fats,animal_products,"aquatic_products,_other",cereals_-_excluding_beer,eggs,"fish,_seafood",fruits_-_excluding_wine,meat,milk_-_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_&_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,hospital_beds_per10k,hospital_density,nbr_surgeons,nbr_obstetricians,nbr_anaesthesiologists,medical_doctors_per10k,school_closure,bcg_coverage,bcg_year_delta,population,median age,population growth rate,birth rate,death rate,net migration rate,maternal mortality rate,infant mortality rate,life expectancy at birth,total fertility rate,obesity - adult prevalence rate,school_shutdown_1case,school_shutdown_10case,school_shutdown_50case,school_shutdown_1death,FF_DayOfYear,case1_DayOfYear,case10_DayOfYear,case50_DayOfYear
Afghanistan,2020-02-24,2020-03-22,2020-03-14,2020-03-24,2020-03-27,0.17417881150581996,0.08333333333333333,8.953005951124329,3.3720823906404545,5.27328049037,1.9631703231819209,0.4981158910413298,15.8255221465,1.962412494383544,2.9380144307200005,1.3933449285255042,1.7700298313053582,70.61433288141315,3.56,0.0,34.0,191.0,,1484.0,6.0,0.0,59.0,48.0,98.0,1.0,5.0,7.0,20.0,4.0,13.0,3.0,89.0,5.0,92.0,30.0,1809.0,5.0,0.085,,,8.0,2.84,2020-03-14,86.0,5.0,52.8,19.5,2.38,36.7,12.7,-0.1,638.0,104.3,52.8,4.82,5.5,19.0,-0.0,-10.0,-8.0,82.0,55,74.0,84.0
Albania,2020-03-09,2020-03-11,2020-03-10,2020-03-16,2020-03-23,0.06869941648845283,0.13005050505050506,27.01678431488417,13.225389824975467,4.57159223674,3.2514253176738404,1.1222773720687502,2.61414891471,8.372170760252345,0.051631681074299995,0.0196583472833512,0.9806906954044156,12.241503672929234,19.09,62.0,72.0,1094.0,0.0,1102.0,55.0,10.0,265.0,263.0,676.0,4.0,18.0,74.0,55.0,0.0,86.0,17.0,234.0,27.0,192.0,187.0,2305.0,28.88,0.28,,45.0,,11.998,2020-03-11,99.0,5.0,79.0,34.3,0.28,13.0,7.1,-3.3,15.0,10.8,79.0,1.53,21.7,2.0,1.0,-5.0,-0.0,71.0,69,70.0,76.0
Algeria,2020-02-25,2020-03-12,2020-03-04,2020-03-16,2020-03-21,0.15858819388282344,0.2285776144508069,17.005475868192548,6.4817290236089695,8.614000207770001,3.4754165631311063,0.9263084281699808,3.80994387788,8.204560893875005,0.390350862801,0.1245101074787528,1.1881415490933014,15.996728004419882,10.92,6.0,13.0,404.0,0.0,1675.0,28.0,8.0,213.0,84.0,267.0,7.0,4.0,18.0,73.0,8.0,129.0,10.0,267.0,15.0,386.0,137.0,2945.0,19.0,,3204.0,599.0,825.0,18.3,2020-03-12,99.0,5.0,77.5,28.9,1.52,20.0,4.4,-0.9,112.0,17.6,77.5,2.59,27.4,16.0,8.0,-4.0,-0.0,72.0,56,64.0,76.0
Andorra,2020-03-02,2020-03-22,2020-03-17,2020-03-19,2020-03-22,0.08277403736551185,0.3452380952380952,13.784687901664267,17.8792785128085,4.38188902095,4.771666828410284,1.5613892082297691,2.50750509682,13.608032063903725,0.334844834957,0.0021593722787542373,0.34055063975232264,18.236080130387922,14.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-16,,,83.0,46.2,-0.06,7.0,7.7,0.0,,3.5,83.0,1.43,25.6,14.0,-1.0,-3.0,-6.0,82.0,62,77.0,79.0
Angola,2020-03-20,2020-03-29,,,,0.13214285714285712,0.0,4.4802996237205,3.01163219150252,2.73306459562,1.7119807528318358,1.4396947189538127,20.5279991649,1.8391048167521904,9.101146506980001,6.213008176334766,5.597667213494106,94.47100697498459,4.7,88.0,12.0,213.0,0.0,833.0,2.0,38.0,105.0,133.0,23.0,3.0,5.0,49.0,68.0,0.0,573.0,2.0,125.0,0.0,194.0,16.0,2057.0,8.0,0.0,,,,2.149,2020-03-24,79.0,5.0,61.3,15.9,3.43,42.7,8.5,-0.2,241.0,62.3,61.3,5.96,8.2,4.0,,,-5.0,89.0,80,,
Antigua and Barbuda,2020-03-13,,,,,0.04761904761904764,,15.95782501437371,12.103094664375137,12.2100551045,2.603435069028883,1.3558309287718358,4.226786898419999,6.499621202581247,1.86399957088,0.5476425925425285,3.4164009636795547,35.4295039025085,6.75,112.0,75.0,747.0,0.0,667.0,10.0,84.0,179.0,342.0,228.0,15.0,8.0,29.0,22.0,17.0,41.0,24.0,283.0,4.0,228.0,63.0,1683.0,38.0,1.11,5.0,6.0,2.0,27.647,,,,77.3,32.7,1.18,15.4,5.8,2.1,,11.1,77.3,1.97,18.9,,,,,,73,,
Argentina,2020-03-03,2020-03-08,2020-03-08,2020-03-16,2020-03-20,0.11869613016529401,0.19122693703166627,15.781373121370766,13.962664971703555,6.642161183160001,4.14033107123862,1.65516303812253,4.99229612321,9.060723952650477,0.9586674125839999,0.2522617304929037,0.9016274716607292,57.73190480669795,15.81,93.0,69.0,971.0,0.0,1088.0,56.0,13.0,95.0,612.0,205.0,,17.0,2.0,8.0,2.0,91.0,15.0,457.0,3.0,359.0,56.0,2267.0,50.0,,,,4500.0,39.6,2020-03-16,99.0,5.0,77.8,32.4,0.86,16.0,7.4,-0.1,39.0,9.0,77.8,2.21,28.3,13.0,8.0,-0.0,8.0,68.0,63,68.0,76.0
Armenia,2020-03-01,2020-03-26,2020-03-14,2020-03-16,2020-03-19,0.12563451876828682,0.5138888888888888,25.348767139565282,14.673964438415773,8.057546359439996,3.6267841005570345,2.7321589914412368,2.8638792959500003,6.0490862699879,0.49033951052,0.13739736051463922,1.2124862595106918,15.685065093319604,17.04,14.0,109.0,790.0,0.0,1186.0,45.0,11.0,156.0,260.0,347.0,7.0,18.0,14.0,27.0,1.0,77.0,43.0,326.0,19.0,220.0,198.0,2288.0,41.8,0.64,1011.0,784.0,419.0,28.99,2020-03-02,99.0,5.0,75.6,36.6,-0.3,11.9,9.5,-5.5,26.0,11.5,75.6,1.65,20.2,1.0,-12.0,-14.0,-24.0,86.0,61,74.0,76.0
Australia,2020-01-26,2020-03-01,2020-03-03,2020-03-10,2020-03-14,0.08256010573335082,0.1366310892172961,12.176800097073126,17.040098242221177,5.38273400852,5.335422654582157,0.9595096515619008,1.5939993631300002,11.214323883829598,0.135918807478,0.009707508862034036,0.22220372839918348,9.045839581629306,12.55,131.0,126.0,1034.0,0.0,771.0,31.0,40.0,110.0,496.0,318.0,14.0,23.0,44.0,9.0,7.0,87.0,34.0,384.0,56.0,555.0,75.0,2277.0,37.9,,4422.0,1591.0,3881.0,35.874,2020-03-24,,,82.7,37.5,1.4,12.4,6.9,8.1,6.0,3.1,82.7,1.74,29.0,58.0,21.0,14.0,23.0,61.0,26,63.0,70.0
Austria,2020-02-25,2020-03-12,2020-03-01,2020-03-06,2020-03-08,0.06446018343899378,0.18348926582531075,17.256516139744186,17.358557884953527,6.49927615393,4.348961969402323,2.034187747258688,1.18868617914,10.396912676016443,0.203517454892,0.002606319506469523,0.2850681603669321,4.5746519815209785,14.15,208.0,388.0,1153.0,0.0,914.0,58.0,30.0,118.0,370.0,299.0,0.0,8.0,51.0,8.0,8.0,108.0,27.0,462.0,31.0,529.0,76.0,2540.0,76.47,,7767.0,2518.0,1761.0,51.441,2020-03-16,90.0,31.0,81.9,44.5,0.35,9.5,9.8,3.6,5.0,3.3,81.9,1.49,20.1,20.0,15.0,10.0,4.0,72.0,56,61.0,66.0
