Continent,"Country,
Other","Total
Cases","Total
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Total Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population,,
Europe,Russia,"405,843","4,693","171,883","229,267","2,300","2,781",32,"10,643,124","72,933","145,929,507",,
Europe,Spain,"286,509","27,127","196,958","62,424",617,"6,128",580,"4,063,843","86,921","46,753,345",,
Europe,UK,"274,762","38,489",N/A,N/A,"1,559","4,049",567,"4,285,738","63,158","67,856,881",,
Europe,Italy,"232,997","33,415","157,507","42,075",435,"3,853",553,"3,878,739","64,144","60,468,778",,
Europe,France,"188,882","28,802","68,355","91,725","1,319","2,894",441,"1,384,633","21,217","65,261,942",,
Europe,Germany,"183,494","8,605","165,200","9,689",702,"2,191",103,"3,952,971","47,193","83,762,346",,
Europe,Belgium,"58,381","9,467","15,887","33,027",168,"5,039",817,"866,497","74,791","11,585,527",,
Europe,Netherlands,"46,442","5,956",N/A,N/A,159,"2,711",348,"349,150","20,380","17,131,835",,
Europe,Belarus,"42,556",235,"18,514","23,807",92,"4,503",25,"541,093","57,261","9,449,568",,
Europe,Sweden,"37,542","4,395","4,971","28,176",228,"3,719",435,"238,800","23,657","10,094,088",,
Europe,Portugal,"32,500","1,410","19,409","11,681",64,"3,187",138,"795,838","78,031","10,199,012",,
Europe,Switzerland,"30,862","1,920","28,500",442,28,"3,568",222,"397,691","45,979","8,649,383",,
Europe,Ireland,"24,990","1,652","22,089","1,249",36,"5,066",335,"325,795","66,043","4,933,108",,
Europe,Poland,"23,786","1,064","11,271","11,451",160,628,28,"915,546","24,189","37,849,860",,
Europe,Ukraine,"23,672",708,"9,538","13,426",278,541,16,"356,565","8,149","43,753,702",,
Europe,Romania,"19,257","1,266","13,256","4,735",160,"1,000",66,"439,197","22,819","19,247,388",,
Europe,Austria,"16,731",668,"15,593",470,27,"1,859",74,"448,534","49,825","9,002,188",,
Europe,Denmark,"11,669",574,"10,362",733,20,"2,015",99,"628,965","108,619","5,790,554",,
Europe,Serbia,"11,412",243,"6,698","4,471",10,"1,306",28,"245,985","28,144","8,740,077",,
Europe,Czechia,"9,268",320,"6,558","2,390",15,866,30,"439,744","41,069","10,707,393",,
Europe,Norway,"8,440",236,"7,727",477,8,"1,558",44,"245,352","45,287","5,417,721",,
Europe,Moldova,"8,251",295,"4,581","3,375",251,"2,045",73,"40,565","10,054","4,034,692",,
Europe,Finland,"6,859",318,"5,500","1,041",10,"1,238",57,"184,408","33,286","5,540,033",,
Europe,Luxembourg,"4,018",110,"3,833",75,3,"6,428",176,"75,432","120,675","625,086",,
Europe,Hungary,"3,876",526,"2,147","1,203",25,401,54,"185,980","19,248","9,662,256",,
Europe,Greece,"2,917",175,"1,374","1,368",13,280,17,"180,518","17,313","10,426,947",,
Europe,Bulgaria,"2,513",140,"1,074","1,299",17,361,20,"81,348","11,701","6,952,375",,
Europe,Bosnia and Herzegovina,"2,510",153,"1,862",495,4,765,47,"65,220","19,870","3,282,366",,
Europe,Croatia,"2,246",103,"2,072",71,4,547,25,"66,405","16,168","4,107,186",,
Europe,North Macedonia,"2,226",133,"1,552",541,21,"1,068",64,"29,575","14,196","2,083,381",,
Europe,Estonia,"1,869",68,"1,624",177,,"1,409",51,"83,440","62,904","1,326,464",,
Europe,Iceland,"1,806",10,"1,794",2,,"5,295",29,"61,122","179,211","341,061",,
Europe,Lithuania,"1,675",70,"1,236",369,17,615,26,"302,859","111,140","2,725,022",,
Europe,Slovakia,"1,521",28,"1,366",127,,279,5,"172,601","31,615","5,459,433",,
Europe,Slovenia,"1,473",108,"1,358",7,2,709,52,"79,897","38,432","2,078,915",,
Europe,Albania,"1,137",33,872,232,4,395,11,"14,723","5,116","2,878,043",,
Europe,Latvia,"1,066",24,745,297,3,565,13,"109,071","57,779","1,887,728",,
Europe,Andorra,764,51,694,19,4,"9,889",660,"3,750","48,541","77,255",,
Europe,San Marino,671,42,357,272,1,"19,779","1,238","4,466","131,643","33,925",,
Europe,Malta,618,9,534,75,1,"1,400",20,"69,025","156,360","441,449",,
Europe,Channel Islands,560,45,515,0,,"3,223",259,"10,255","59,029","173,729",,
Europe,Isle of Man,336,24,309,3,,"3,953",282,"4,892","57,556","84,996",,
Europe,Montenegro,324,9,315,0,,516,14,"10,167","16,188","628,060",,
Europe,Faeroe Islands,187,,187,0,,"3,828",,"9,677","198,104","48,848",,
Europe,Gibraltar,170,,149,21,,"5,046",,"7,632","226,523","33,692",,
Europe,Monaco,99,4,90,5,1,"2,524",102,,,"39,219",,
